ProfileM	Shape_Leng	ORIG_FID	POINT_X	POINT_Z	POINT_Y
3816.663	177.4932778	3	844971.72	1365467.34	285.54
3816.663	177.4932778	3	844973.26	1365466.79	285.6
3816.663	177.4932778	3	844974.03	1365466.52	285.67
3816.663	177.4932778	3	844974.8	1365466.25	285.75
3816.663	177.4932778	3	844975.57	1365465.98	285.78
3816.663	177.4932778	3	844976.34	1365465.7	285.82
3816.663	177.4932778	3	844977.11	1365465.43	285.95
3816.663	177.4932778	3	844977.88	1365465.16	286.04
3816.663	177.4932778	3	844978.96	1365464.78	286.13
3816.663	177.4932778	3	844979.73	1365464.51	286.23
